,Timestamp,Site ID,Date and Time,Flow Condition,NOTES,Site Photo or Video?,Height above (+) or below (-) v-notch in cm,"Flow Measurement, Time in Seconds ","Flow Measurement, Volume in mL"
171,2020-05-18 14:48:10,SDR-203A,2020-05-01 16:53:00,Flowing,This calibration measurement was before the loggers were swapped between 203A and 204A.,,4.7,8.96,6000
172,2020-05-18 14:49:34,SDR-204A,2020-05-01 16:53:00,Flowing,This calibration measurement was before the loggers were swapped between 203A and 204A.,,2.4,17.87,3000
173,2020-05-18 14:50:54,SDR-064C,2020-05-04 15:00:00,Dry,N/A,,0.0,60.0,0
174,2020-05-19 12:07:21,CAR-007,2020-05-19 12:01:00,Ponded,"Not sure if ponded or leaking. Spy point photos show weird behavior (flowing then ponding at v, then sudden drops in level). Suspected hole in adjacent pipe.",https://drive.google.com/open?id=1Or5O-obYMfT-s5yrtlLuKnep3KwztRag,-2.0,60.0,0
175,2020-05-19 12:38:02,CAR-059,2020-05-19 12:34:00,Flowing,Water level measurement taken before contraction. Difficult to get accurate flow measurement. ,https://drive.google.com/open?id=1MV6VwS3_aYCkoHRzVgeXIwdqBtvmtoBi,5.0,60.0,0
176,2020-05-19 12:58:13,CAR-059G,2020-05-19 12:55:00,Flowing,Frothy,https://drive.google.com/open?id=1uudLByaOzsRwy5ct34vQRLiNDRm_orOT,2.5,15.25,1400
177,2020-05-19 13:01:32,CAR-059G,2020-05-19 13:00:00,Flowing,None,,2.5,20.17,1810
178,2020-05-19 13:51:09,SDG-072A,2020-05-19 13:50:00,Flowing,None,,0.6,60.0,100
179,2020-05-19 13:54:08,SDG-072A,2020-05-19 13:50:00,Flowing,Trickle,,0.65,60.0,80
180,2020-05-19 13:56:26,SDG-072A,2020-05-19 13:55:00,Flowing,None,https://drive.google.com/open?id=1qkeh8S9y7VMjNrMFIrjV_K6eEItNvPhw,0.6,60.0,130
181,2020-05-19 14:18:08,SDG-072,2020-05-19 14:12:00,Flowing,Camera seems to have reset when Jamo tried a download. Photo attached to cal measurement needs to be inverted.,https://drive.google.com/open?id=1w2DAfo-wFLEJ4i3Q9uIR8lzbAPTsbzeD,1.6,25.71,1100
182,2020-05-19 14:33:12,SDG-085,2020-05-19 14:30:00,Flowing,Bone,,5.3,1.22,1140
183,2020-05-19 14:35:49,SDG-085,2020-05-19 14:35:00,Flowing,None,https://drive.google.com/open?id=1oTYuPoiTqUsgDmE2-S-3e4K4O0L63vR7,,2.29,2220
184,2020-05-19 14:39:07,SDG-085,2020-05-19 14:35:00,Flowing,None,,,2.16,2010
185,2020-05-19 15:05:21,SDG-085G,2020-05-19 15:05:00,Obstructed,Removed grass clippings from v,,0.5,21.4,60
186,2020-05-19 15:06:37,SDG-085G,2020-05-19 15:05:00,Flowing,None,,,28.94,210
187,2020-05-19 15:08:00,SDG-085G,2020-05-19 15:05:00,Flowing,None,,0.5,28.83,140
188,2020-05-19 15:25:09,SDG-085M,2020-05-19 15:25:00,Flowing,N/A,,3.0,12.0,2570
189,2020-05-19 15:28:38,SDG-085M,2020-05-19 15:25:00,Flowing,N/A,,2.9,17.4,3550
190,2020-05-19 15:40:49,SDG-085M,2020-05-19 15:29:00,Flowing,N/A,https://drive.google.com/open?id=1Liv5Z7SY9VM2qrNvXtBjOViwrf-yl2lM,2.9,19.8,4110
191,2020-05-19 15:54:49,SDG-084J,2020-05-19 15:55:00,Flowing,Small leaf obstruction. Cleared!!,,1.0,60.33,490
192,2020-05-19 15:57:21,SDG-084J,2020-05-19 15:55:00,Flowing,"N/A
",,1.0,60.38,480
193,2020-05-19 16:08:06,SDG-084J,2020-05-19 03:57:00,Flowing,N/A,,1.0,60.28,460
194,2020-05-19 16:17:49,SDG-085G,2020-05-19 15:05:00,Flowing,None,,0.5,28.83,140
195,2020-05-19 16:21:09,SDG-085,2020-05-19 16:20:00,Flowing,None,https://drive.google.com/open?id=1tL8hglvt-5_tl977Z8Yqt0VVYP7Jv9VC,5.9,3.37,2350
196,2020-05-19 16:22:35,SDG-084,2020-05-19 16:20:00,Flowing,None,,,1.94,1550
197,2020-05-22 07:26:58,SDR-064,2020-05-20 09:28:00,Dry,no level,https://drive.google.com/open?id=1jkPrvJDcAetDPthSu4LeP-HmT26VkSOn,0.0,0.0,0
198,2020-05-22 07:30:07,SDR-064A,2020-05-20 09:28:00,Flowing,light flow,https://drive.google.com/open?id=1er-fxRiZhJihkXMev8g9mAKGiqpLYB83,0.4,60.0,190
199,2020-05-22 07:33:02,SDR-064B,2020-05-20 09:37:00,Ponded,no flow,https://drive.google.com/open?id=1j8i8RPm_1UfDpkfwPLOasNptNUT0AtnQ,0.0,60.0,0
200,2020-05-22 07:35:48,SDR-064D,2020-05-20 09:39:00,Ponded,no flow,https://drive.google.com/open?id=1Y8soriwoBRXQkv5IM6wY1S1gCb-GtsAs,0.0,60.0,0
